Time,WRF_T2,WRF_U10,WRF_V10,WRF_WS10,WRF_T925,WRF_U925,WRF_V925
2024-05-20_00:00:00,294.980652,0.469761,1.315807,1.397148331,294.176117,4.558633,2.236989
2024-05-20_00:30:00,293.581573,0.443479,2.066423,2.113475251,294.046326,4.580418,1.898231
2024-05-20_01:00:00,292.897858,0.377632,1.982182,2.017833345,293.924194,4.520302,1.560093
2024-05-20_01:30:00,292.661163,0.398003,1.640521,1.68811005,293.83606,4.439427,1.147443
2024-05-20_02:00:00,292.503265,0.524471,1.379624,1.47595129,293.728424,4.394728,0.894066
2024-05-20_02:30:00,292.365875,0.543567,1.242449,1.356150656,293.654175,4.301051,0.727139
2024-05-20_03:00:00,292.227234,0.601441,1.10605,1.258998761,293.592957,4.236736,0.590052
2024-05-20_03:30:00,292.094482,0.686573,0.964292,1.183740489,293.535553,4.208621,0.498121
2024-05-20_04:00:00,291.961517,0.700645,0.784945,1.052160667,293.485626,4.160933,0.404729
2024-05-20_04:30:00,291.850067,0.685761,0.581029,0.898811909,293.438385,4.129926,0.300028
2024-05-20_05:00:00,291.720795,0.6539,0.374465,0.753531185,293.383118,4.106752,0.209154
2024-05-20_05:30:00,291.570221,0.635728,0.159577,0.655450157,293.319824,4.090906,0.099284
2024-05-20_06:00:00,291.40213,0.620149,-0.054082,0.622502727,293.263306,4.073703,-0.00579
2024-05-20_06:30:00,289.893951,-0.398522,-1.802881,1.846401821,292.875763,2.123933,-0.307594
2024-05-20_07:00:00,289.200623,-1.334386,-2.423156,2.766273847,292.750427,0.918821,-0.076712
2024-05-20_07:30:00,288.861633,-1.563088,-2.300939,2.781647781,292.75882,0.30011,0.269728
2024-05-20_08:00:00,288.687103,-1.620014,-2.340011,2.846066907,292.76712,0.042752,0.522565
2024-05-20_08:30:00,288.546478,-1.667903,-2.386832,2.911849483,292.769836,-0.065233,0.673932
2024-05-20_09:00:00,288.423584,-1.742203,-2.39107,2.958460248,292.783691,-0.086458,0.790387
2024-05-20_09:30:00,288.305359,-1.792067,-2.391145,2.988156379,292.80542,-0.080012,0.882196
2024-05-20_10:00:00,288.196716,-1.855621,-2.374766,3.013775514,292.823944,-0.080309,0.952984
2024-05-20_10:30:00,288.742645,-1.680917,-1.979224,2.59669205,292.863007,-0.1118,1.041013
2024-05-20_11:00:00,289.889771,-1.389713,-1.553205,2.084166019,292.895172,-0.107439,1.11473
2024-05-20_11:30:00,290.741791,-1.510599,-1.569814,2.178583332,292.915375,-0.081334,1.183192
2024-05-20_12:00:00,291.632812,-1.63105,-1.538144,2.241921289,292.937195,-0.105075,1.264098
2024-05-20_12:30:00,292.919861,-2.049532,-0.315918,2.07373711,293.406067,0.480566,3.848026
2024-05-20_13:00:00,293.76651,-2.235449,0.734305,2.352963252,293.734222,0.812472,5.453105
2024-05-20_13:30:00,294.443756,-2.328182,1.433133,2.733916901,293.929382,0.987458,6.466407
2024-05-20_14:00:00,295.024963,-2.289307,1.992255,3.034799256,294.060333,1.072921,7.173462
2024-05-20_14:30:00,295.574677,-2.189306,2.401052,3.249324771,294.116089,1.092519,7.572494
2024-05-20_15:00:00,296.054047,-2.044617,2.638864,3.338272291,294.093353,1.016602,7.68313
2024-05-20_15:30:00,296.462463,-1.94684,2.941647,3.527530731,294.040375,0.938593,7.827177
2024-05-20_16:00:00,296.838409,-1.805061,3.090203,3.57877071,293.858185,0.684816,7.610343
2024-05-20_16:30:00,297.158539,-1.703583,3.298698,3.712627578,293.592224,0.439697,7.43833
2024-05-20_17:00:00,297.410767,-1.560889,3.365448,3.709799821,293.48288,0.213257,7.116033
2024-05-20_17:30:00,297.574646,-1.44084,3.496999,3.782198026,293.500488,0.280098,7.034193
2024-05-20_18:00:00,297.689545,-1.373786,3.611192,3.86367644,293.551117,0.327148,7.072577
2024-05-20_18:30:00,299.594391,-0.069741,4.097207,4.097800509,294.612946,1.395172,5.991476
2024-05-20_19:00:00,300.249359,0.594532,4.186232,4.228239191,295.216797,2.609825,5.530179
2024-05-20_19:30:00,300.550781,1.195131,4.049043,4.221739845,295.504425,3.352154,4.940992
2024-05-20_20:00:00,300.592163,1.304541,3.913268,4.12498408,295.624237,3.959511,4.415716
2024-05-20_20:30:00,300.744202,1.576,3.577953,3.909670532,295.748535,4.423903,3.952085
2024-05-20_21:00:00,300.759033,1.92646,3.100655,3.650384851,295.783936,4.639653,3.594356
2024-05-20_21:30:00,300.644501,2.128125,2.752029,3.478876203,295.749756,4.771902,3.364891
2024-05-20_22:00:00,300.446777,2.281857,2.487784,3.375787404,295.639648,4.81579,3.175919
2024-05-20_22:30:00,300.19458,2.308226,2.290332,3.251696163,295.490295,4.783108,2.920174
2024-05-20_23:00:00,299.805725,2.262926,2.076727,3.071421351,295.279327,4.641931,2.673927
2024-05-20_23:30:00,299.334656,1.944265,1.757613,2.620948273,295.025879,4.486715,2.49825
2024-05-21_00:00:00,298.599365,2.198364,1.816,2.851431268,294.801727,4.344444,2.282955
2024-05-21_00:30:00,296.973572,-0.342954,0.67068,0.753278905,295.006714,2.331852,1.130407
2024-05-21_01:00:00,295.615631,-1.993798,1.066219,2.260985055,295.45459,1.554036,1.639724
2024-05-21_01:30:00,295.005341,-2.657894,0.884642,2.80124829,295.724213,1.003936,2.426375
2024-05-21_02:00:00,294.590485,-2.829142,0.744774,2.925531194,295.886658,0.618425,3.116454
2024-05-21_02:30:00,294.299805,-2.910733,0.705556,2.995025186,295.99646,0.387315,3.733064
2024-05-21_03:00:00,294.049316,-2.980045,0.744556,3.071649693,296.06134,0.262529,4.277428
2024-05-21_03:30:00,293.797852,-3.011542,0.776316,3.109992243,296.075836,0.208159,4.733407
2024-05-21_04:00:00,293.588776,-3.016666,0.81401,3.124561735,296.075745,0.15951,5.126297
2024-05-21_04:30:00,293.401825,-3.008976,0.874629,3.133514394,296.068604,0.135986,5.452655
2024-05-21_05:00:00,293.136719,-3.024224,0.913038,3.159045614,296.062378,0.114749,5.73807
2024-05-21_05:30:00,292.881409,-3.031747,0.976333,3.185077079,296.055084,0.094201,6.00601
2024-05-21_06:00:00,292.664276,-3.031389,1.03988,3.204788555,296.045837,0.085259,6.265683
